powerStation,state,postcode,MWCapacity,fuelSource,year
Kidston Stage 3 Wind Project,QLD,,258.0,Wind,
Lake Wells high renewable energy fraction microgrid,WA,,4.5,Solar,
Lake Wells high renewable energy fraction microgrid,WA,,9.0,Wind,
Lakeland Wind Farm,QLD,,100.0,Wind,
Majors Creek Solar Farm,QLD,,150.0,Solar,
Manilla Community Solar,NSW,,4.5,Solar,
Mount Hopeful Wind Farm,QLD,,350.0,Wind,
Northern Midlands Solar Farm,TAS,,288.0,Solar,
Palmer Wind Farm,SA,,288.0,Wind,
Planet Ark Power,SA,,5.7,Solar,
Port Augusta Energy Park Stage 2,SA,,300.0,Solar,
Sandy Creek Solar Farm,NSW,,700.0,Solar,
Sapphire Solar Farm,NSW,,200.0,Solar,
Silverleaf Solar Farm,NSW,,120.0,Solar,
Smoky Creek and Guthrie's Gap Solar Farm,QLD,,600.0,Solar,
Snowtown North Solar Farm,SA,,44.0,Solar,
Spicers Creek Wind Farm,NSW,,700.0,Wind,
Theodore Wind Farm,QLD,,1152.0,Wind,
Thunderbolt Wind Farm stage 1,NSW,,230.0,Wind,
Upper Calliope Solar Farm,QLD,,1300.0,Solar,
Vales Point Solar Farm,NSW,,62.0,Solar,
Valley of the Winds,NSW,,936.0,Wind,
Vast Solar Facility,SA,,30.0,Solar,
Walgett Solar Farm,NSW,,25.0,Solar,
Waroona Solar Fam,WA,,120.0,Solar,
West Mokoan Solar Farm,VIC,,300.0,Solar,
Winton North Solar Farm,VIC,,100.0,Solar,
Woolsthorpe Wind Farm,VIC,,70.0,Wind,
