facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year
Braemar Power Station,F,QLD,294334.0,171732.0,1803.0,173535,0.58,Coal Seam Methane,2024
Loy Yang B Power Station,F,VIC,8477005.0,9642473.0,1482.0,9643955,1.14,Brown Coal,2024
Wagerup Power Station,F,WA,812326.0,483711.0,2495.0,486206,0.6,Gas,2024
Yandin Wind Farm,F,WA,834082.0,153.0,463.0,616,0.0,Wind,2024
Hillston Sun Farm,F,NSW,192986.0,75.0,902.0,977,0.0,Solar,2024
Molong Solar Farm,F,NSW,31963.0,37.0,458.0,495,0.0,Solar,2024
Badgingarra Solar Farm,F,WA,40736.0,2.0,42.0,44,0.0,Solar,2024
Badgingarra Wind Farm,F,WA,489173.0,25.0,239.0,264,0.0,Wind,2024
Darling Downs Solar Farm,F,QLD,210437.0,12.0,608.0,620,0.0,Solar,2024
Diamantina Power Station,F,QLD,1507037.0,644543.0,149.0,644692,0.43,Gas,2024
Dugald River Solar Farm,F,QLD,141825.0,0.0,0.0,0,0.0,Solar,2024
Emu Downs Solar Farm,F,WA,47385.0,6.0,52.0,58,0.0,Solar,2024
Emu Downs Wind Farm,F,WA,249647.0,47.0,214.0,261,0.0,Wind,2024
Newman Power Station,F,WA,860703.0,376230.0,0.0,376230,0.44,Gas,2024
Port Hedland Power Station,F,WA,449612.0,340466.0,0.0,340466,0.76,Gas,2024
Braemar 2 Power Station,F,QLD,360156.0,209697.0,4459.0,214156,0.58,Coal Seam Methane,2024
Karratha Power Station,F,WA,75862.0,53106.0,170.0,53276,0.7,Gas,2024
Osborne facility,F,SA,376204.0,156932.0,2527.0,159459,0.42,Gas,2024
Childers Solar Farm,F,QLD,97246.0,14.0,262.0,276,0.0,Solar,2024
Susan River Solar Farm,F,QLD,133683.0,20.0,341.0,361,0.0,Solar,2024
The Daydream Solar Farm Trust,F,QLD,331828.0,184.0,414.0,598,0.0,Solar,2024
The Hayman Solar Farm Trust,F,QLD,96991.0,19.0,149.0,168,0.0,Solar,2024
KARADOC SOLAR FARM,F,VIC,127782.0,67.0,299.0,366,0.0,Solar,2024
Kiata Wind Farm,F,VIC,101050.0,21.0,393.0,414,0.0,Wind,2024
Nevertire Solar Farm,F,NSW,244086.0,15.0,550.0,565,0.0,Solar,2024
