powerStation,state,postcode,MWCapacity,fuelSource,Accreditation start date,Approval date,inSheet,Committed Date (Month/Year)
Bunnings Penrith - Solar - NSW,NSW,2750.0,0.37,Solar,2025-05-28,2025-06-27,Approved,
Cherry Lane - Solar - VIC,VIC,3026.0,0.4196,Solar,2025-05-21,2025-06-27,Approved,
Coolaroo - Solar - VIC,VIC,3048.0,0.7004,Solar,2025-05-26,2025-06-27,Approved,
"CVAS, Clarenza - Solar w SGU - NSW",NSW,2460.0,0.1936,Solar,2025-05-19,2025-06-27,Approved,
DMK - 27 Alacrity Place -  SOLAR - WA,WA,6166.0,0.1956,Solar,2025-03-24,2025-06-27,Approved,
Macathur Square - Solar - NSW,NSW,2560.0,4.5417,Solar,2025-05-22,2025-06-27,Approved,
Powerhouse Museum - Solar - NSW,NSW,2154.0,0.8012,Solar,2025-05-14,2025-06-27,Approved,
Region Group Kwinana 1 - Solar - WA,WA,6167.0,1.1908,Solar,2025-03-06,2025-06-27,Approved,
Riverwood CCP - Solar - NSW,NSW,2210.0,0.1255,Solar,2025-04-23,2025-06-27,Approved,
Sydney City Toyota Waterloo - Solar - NSW,NSW,2017.0,0.4541,Solar,2025-06-11,2025-06-27,Approved,
Timberjack 10 International Square - Solar - VIC,VIC,3043.0,0.2357,Solar,2025-04-07,2025-06-27,Approved,
Timberjack 11 International Square - Solar - VIC,VIC,3043.0,0.1732,Solar,2025-04-07,2025-06-27,Approved,
Timberjack Bliss Court Derrimut - Solar - VIC,VIC,3026.0,0.6201,Solar,2025-04-07,2025-06-27,Approved,
Uppal Produce - Solar w SGU - VIC,VIC,3616.0,0.1496,Solar,2025-05-14,2025-06-27,Approved,
Koorelah Farms-Solar-QLD,QLD,4805.0,0.4061,Solar,2025-03-03,2025-06-30,Approved,
Woolworths Norwest Circa 1422 - Solar - NSW,NSW,2153.0,0.3001,Solar,2025-06-03,2025-06-30,Approved,
Ashburton Aboriginal Corporation - Solar - WA,WA,6751.0,0.7268,Solar,2025-05-01,2025-07-01,Approved,
Bunnings Nunawading - Solar - VIC,VIC,3131.0,0.26,Solar,2025-06-17,2025-07-01,Approved,
Eastern Creek - LFG- NSW,NSW,2766.0,4.268,Landfill Gas,2025-05-22,2025-07-01,Approved,
Gunnedah 2A Solar Farm - Solar - NSW,NSW,2380.0,6.048,Solar,2025-05-21,2025-07-01,Approved,
Hemmant 1+3 Lineage Logistics - Solar - QLD,QLD,4174.0,1.518,Solar,2025-06-03,2025-07-01,Approved,
Raymond Terrace - Solar - NSW,NSW,2324.0,0.2224,Solar,2025-06-12,2025-07-01,Approved,
Scalabrini Griffith - Solar w SGU - NSW,NSW,2680.0,0.2195,Solar,2025-06-03,2025-07-01,Approved,
Wambo Wind Farm Stage 1 - Wind - QLD,QLD,4410.0,252.0,Wind,2025-06-11,2025-07-01,Approved,
Woolworths Merimbula 1250 - Solar - NSW,NSW,2548.0,0.3656,Solar,2025-06-16,2025-07-01,Approved,
SH LEASEHOLD PTY LTD - Solar w SGU - SA,SA,5096.0,0.198,Solar,2025-06-20,2025-07-02,Approved,
GPE_DB Santasalo - Solar w SGU - NSW,NSW,2516.0,0.5323,Solar,2025-03-20,2025-07-03,Approved,
Kwinana WTE - WA,WA,6167.0,42.0,Biomass-Based Components of Municipal Solid Waste,2025-03-27,2025-07-03,Approved,
Murrumbidgee-Solar-NSW,NSW,2716.0,7.125,Solar,2025-05-16,2025-07-03,Approved,
PCCS - Solar w SGU - NSW,NSW,2486.0,0.1795,Solar,2025-06-12,2025-07-03,Approved,
Region Group Kwinana 2 - Solar - WA,WA,6167.0,1.1899,Solar,2025-03-06,2025-07-03,Approved,
Bunnings Mentone - Solar - VIC,VIC,3194.0,0.1802,Solar,2025-06-25,2025-07-09,Approved,
Equinex SY9 - Solar - NSW,NSW,2142.0,0.4904,Solar,2025-06-23,2025-07-09,Approved,
HomeCo Braybrook - Solar - VIC,VIC,3019.0,0.14,Solar,2025-06-23,2025-07-09,Approved,
HomeCo Bundall - Solar - QLD,QLD,4217.0,0.33,Solar,2025-06-23,2025-07-09,Approved,
Bunnings Lawnton - Solar - QLD,QLD,4501.0,0.1599,Solar,2025-06-26,2025-07-10,Approved,
Omya Bajool - 546kW - Solar W SGU - QLD,QLD,4699.0,0.546,Solar,2025-05-09,2025-07-10,Approved,
Bunnings Alexandria - Solar - NSW,NSW,2015.0,0.456,Solar,2025-06-20,2025-07-14,Approved,
"Chisholm Rd, Auburn - Solar w SGU - NSW",NSW,2144.0,0.2069,Solar,2025-06-06,2025-07-14,Approved,
