facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year,lat,lng
Essential Energy Generation Facilities,FA,NSW,499.0,692.0,183.0,875,1.39,Multiple sources,2015,-31.431512,152.9034073
FPC Green Energy,F,QLD,98740.0,3769.0,1645.0,5414,0.04,Biofuel,2015,-27.7353228,153.3278212
Parkeston Power Station,F,WA,226239.0,134782.0,0.0,134782,0.6,Gas/Diesel,2015,-30.7269451,121.4974951
Blayney Wind Farm,F,NSW,20082.0,0.0,49.0,49,0.0,Wind,2015,-33.619909,149.1888872
Burrinjuck Power Station,F,NSW,84748.0,0.0,105.0,105,0.0,Hydro,2015,-35.0012722,148.5828538
Crookwell Wind Farm,F,NSW,7923.0,0.0,33.0,33,0.0,Wind,2015,-34.5411791,149.5954639
Hume Power Station,F,NSW,209736.0,0.0,298.0,298,0.0,Hydro,2015,-34.8372594,149.0145631
Keepit Power Station,F,NSW,2848.0,0.0,0.0,0,0.0,Hydro,2015,-30.8813898,150.4909994
Energy Brix Australia Corporation,F,VIC,41694.0,100703.0,18935.0,119638,2.42,Brown Coal,2015,-36.9847807,143.3906074
Wyangala A,F,NSW,38467.0,0.0,0.0,0,0.0,Hydro,2015,-33.9625881,148.9543394
Bastyan Hydro Power Station,F,TAS,358255.0,0.0,221.0,221,0.0,Hydro,2015,-41.7360047,145.5318835
Butlers Gorge Hydro Power Station,F,TAS,91806.0,0.0,0.0,0,0.0,Hydro,2015,-42.28059469999999,146.3151456
Catagunya Hydro Power Station,F,TAS,217173.0,0.0,22.0,22,0.0,Hydro,2015,-42.4523344,146.5978522
Cethana Hydro Power Station,F,TAS,241878.0,0.0,98.0,98,0.0,Hydro,2015,-41.4798866,146.147545
Cluny Hydro Power Station,F,TAS,81428.0,0.0,9.0,9,0.0,Hydro,2015,-42.0409059,146.8087322
Devils Gate Hydro Power Station,F,TAS,261695.0,0.0,27.0,27,0.0,Hydro,2015,-41.3429983,146.2686841
Fisher Hydro Power Station,F,TAS,127967.0,0.0,3.0,3,0.0,Hydro,2015,-42.0409059,146.8087322
Flinders Island Power Station,F,TAS,3642.0,2457.0,4.0,2461,0.67,Wind/Diesel,2015,-40.1163649,148.0288719
Gordon Hydro Power Station,F,TAS,1061781.0,0.0,114.0,114,0.0,Hydro,2015,-43.26312830000001,147.2389971
John Butters Hydro Power Station,F,TAS,490699.0,0.0,631.0,631,0.0,Hydro,2015,-42.1548711,145.5345778
King Island Power Station,F,TAS,12621.0,5037.0,4.0,5041,0.4,Wind/Diesel,2015,-39.87534770000001,143.9370758
